is_comb;sliding_window_size;avg_apps_in_window;group_size_mean;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;3;1.4370370370370371;4.550561797752809;0.01;3;4;369;36;0;405;0.9111111111111111;0.08888888888888889;2.128395061728395;2.0;3;3;1;262;81;26;0.65;0.2;0.06
False;5;1.874074074074074;4.550561797752809;0.01;3;4;365;40;0;405;0.9012345679012346;0.09876543209876543;2.128395061728395;2.0;3;3;1;262;78;25;0.65;0.19;0.06
False;7;2.303703703703704;4.550561797752809;0.01;3;4;365;40;0;405;0.9012345679012346;0.09876543209876543;2.128395061728395;2.0;3;3;1;257;83;25;0.63;0.2;0.06
False;9;2.74320987654321;4.550561797752809;0.01;3;4;367;38;0;405;0.9061728395061729;0.09382716049382717;2.128395061728395;2.0;3;3;1;253;86;28;0.62;0.21;0.07
False;11;3.2049382716049384;4.550561797752809;0.01;3;4;367;38;0;405;0.9061728395061729;0.09382716049382717;2.128395061728395;2.0;3;3;1;250;89;28;0.62;0.22;0.07
False;21;5.340740740740741;4.550561797752809;0.01;3;4;372;33;0;405;0.9185185185185185;0.08148148148148149;2.128395061728395;2.0;3;3;1;220;101;51;0.54;0.25;0.13
False;31;7.57283950617284;4.550561797752809;0.01;3;4;359;46;0;405;0.8864197530864197;0.11358024691358025;2.128395061728395;2.0;3;3;1;222;88;49;0.55;0.22;0.12
True;3;1.4370370370370371;4.550561797752809;0.01;3;4;357;48;0;405;0.8814814814814815;0.11851851851851852;1.5851851851851853;1.0;1;3;1;269;59;29;0.66;0.15;0.07
True;5;1.874074074074074;4.550561797752809;0.01;3;4;358;47;0;405;0.8839506172839506;0.11604938271604938;1.5851851851851853;1.0;1;3;1;268;62;28;0.66;0.15;0.07
True;7;2.303703703703704;4.550561797752809;0.01;3;4;359;46;0;405;0.8864197530864197;0.11358024691358025;1.5851851851851853;1.0;1;3;1;269;57;33;0.66;0.14;0.08
True;9;2.74320987654321;4.550561797752809;0.01;3;4;359;46;0;405;0.8864197530864197;0.11358024691358025;1.5851851851851853;1.0;1;3;1;270;57;32;0.67;0.14;0.08
True;11;3.2049382716049384;4.550561797752809;0.01;3;4;361;44;0;405;0.891358024691358;0.10864197530864197;1.5851851851851853;1.0;1;3;1;272;57;32;0.67;0.14;0.08
True;21;5.340740740740741;4.550561797752809;0.01;3;4;358;47;0;405;0.8839506172839506;0.11604938271604938;1.5851851851851853;1.0;1;3;1;269;56;33;0.66;0.14;0.08
True;31;7.57283950617284;4.550561797752809;0.01;3;4;352;53;0;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;271;57;24;0.67;0.14;0.06
