is_comb;sliding_window_size;avg_apps_in_window;group_size_mean;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;3;1.6337936987483814;3.1545268890401634;0.01;3;4;3571;1063;0;4634;0.7706085455330168;0.22939145446698317;2.790677600345274;3.0;3;3;1;2655;565;351;0.57;0.12;0.08
False;5;2.267587397496763;3.1545268890401634;0.01;3;4;3734;900;0;4634;0.805783340526543;0.19421665947345707;2.790677600345274;3.0;3;3;1;2661;731;342;0.57;0.16;0.07
False;7;2.900302114803625;3.1545268890401634;0.01;3;4;3841;793;0;4634;0.8288735433750539;0.17112645662494605;2.790677600345274;3.0;3;3;1;2569;864;408;0.55;0.19;0.09
False;9;3.5330168321104876;3.1545268890401634;0.01;3;4;3861;773;0;4634;0.8331894691411308;0.16681053085886924;2.790677600345274;3.0;3;3;1;2462;916;483;0.53;0.2;0.1
False;11;4.16745791972378;3.1545268890401634;0.01;3;4;3837;797;0;4634;0.8280103582218385;0.17198964177816142;2.790677600345274;3.0;3;3;1;2359;984;494;0.51;0.21;0.11
False;21;7.335347432024169;3.1545268890401634;0.01;3;4;3542;1092;0;4634;0.7643504531722054;0.23564954682779457;2.790677600345274;3.0;3;3;1;1885;1065;592;0.41;0.23;0.13
False;31;10.505394907207595;3.1545268890401634;0.01;3;4;3187;1447;0;4634;0.6877427708243419;0.3122572291756582;2.790677600345274;3.0;3;3;1;1434;1092;661;0.31;0.24;0.14
True;3;1.6337936987483814;3.1545268890401634;0.01;3;4;3780;854;0;4634;0.8157099697885196;0.18429003021148035;1.7136383254208027;1.0;1;3;1;3103;425;252;0.67;0.09;0.05
True;5;2.267587397496763;3.1545268890401634;0.01;3;4;3769;865;0;4634;0.8133362106171774;0.1866637893828226;1.7136383254208027;1.0;1;3;1;3115;424;230;0.67;0.09;0.05
True;7;2.900302114803625;3.1545268890401634;0.01;3;4;3769;865;0;4634;0.8133362106171774;0.1866637893828226;1.7136383254208027;1.0;1;3;1;3109;423;237;0.67;0.09;0.05
True;9;3.5330168321104876;3.1545268890401634;0.01;3;4;3768;866;0;4634;0.8131204143288735;0.18687958567112645;1.7136383254208027;1.0;1;3;1;3122;418;228;0.67;0.09;0.05
True;11;4.16745791972378;3.1545268890401634;0.01;3;4;3780;854;0;4634;0.8157099697885196;0.18429003021148035;1.7136383254208027;1.0;1;3;1;3133;417;230;0.68;0.09;0.05
True;21;7.335347432024169;3.1545268890401634;0.01;3;4;3713;921;0;4634;0.8012516184721623;0.19874838152783772;1.7136383254208027;1.0;1;3;1;3103;415;195;0.67;0.09;0.04
True;31;10.505394907207595;3.1545268890401634;0.01;3;4;3649;985;0;4634;0.7874406560207164;0.21255934397928355;1.7136383254208027;1.0;1;3;1;3062;393;194;0.66;0.08;0.04
